AÑO,ARTICULO,GRAMOS_PERSONA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ZONA
2023,Azúcar                                            ,69,0.0776,0.0776,0.0776,0.078,0.0781,0.0785,0.0787,0.0783,0.0783,0.0785,0.0783,0.079,Urbana
2023,Costo diario por persona                          ,0,19906.0,20286.0,20236.0,20131.0,20137.0,20373.0,20745.0,20732.0,20928.0,20945.0,20765.0,20884.0,Urbana
2023,más 10% (cocción)                                 ,0,21897.0,22315.0,22260.0,22144.0,22151.0,22410.0,22820.0,22805.0,23021.0,23039.0,22842.0,22972.0,Urbana
2023,Costo diario por familia de 3.73 miembros         ,0,81675.0,83235.0,83030.0,82596.0,82622.0,83589.0,85119.0,85062.0,85869.0,85937.0,85199.0,85687.0,Urbana
2023,Costo mensual por familia**                       ,0,2450240.0,2497049.0,2490891.0,2477875.0,2478675.0,2507666.0,2553562.0,2551856.0,2576065.0,2578103.0,2555969.0,2570613.0,Urbana
2024,,,,,,,,,,,,,,,Urbana
2024,Pan Francés                                       ,49,0.1668,0.1667,0.1703,0.1665,0.1734,0.178,0.1703,0.1656,0.1626,0.1656,0.1679,0.1678,Urbana
2024,Tortillas                                         ,223,0.2495,0.2495,0.2466,0.2391,0.2343,0.2353,0.2381,0.2297,0.2286,0.2291,0.2291,0.2389,Urbana
2024,Arroz                                             ,55,0.0838,0.0833,0.0833,0.0823,0.0837,0.0846,0.0865,0.0869,0.0877,0.0867,0.0858,0.0861,Urbana
2024,Carnes 1_ /                                       ,60,0.498,0.5007,0.5014,0.504,0.5017,0.4939,0.5033,0.505,0.504,0.505,0.5026,0.5021,Urbana
2024,Grasas 2 _ /                                      ,33,0.118,0.1172,0.1177,0.1182,0.1176,0.1174,0.1171,0.1153,0.1149,0.1144,0.1147,0.1149,Urbana
2024,Huevos                                            ,28,0.1135,0.1125,0.1101,0.1091,0.1089,0.1087,0.1064,0.1074,0.1082,0.1082,0.1093,0.1085,Urbana
2024,Leche Fluida *                                    ,106,0.1111,0.1187,0.1111,0.1155,0.1213,0.1213,0.1148,0.1148,0.1135,0.1135,0.1148,0.1148,Urbana
2024,Frutas 3_ /                                       ,157,0.1754,0.1767,0.1712,0.1775,0.1653,0.1769,0.1749,0.1858,0.1729,0.1696,0.1669,0.1633,Urbana
2024,Frijoles                                          ,79,0.2245,0.2231,0.2198,0.2234,0.2239,0.2223,0.2238,0.2227,0.2173,0.2084,0.2069,0.2092,Urbana
2024,Verduras 4_ /                                     ,127,0.2668,0.2593,0.2596,0.2589,0.2747,0.3119,0.3373,0.2992,0.2356,0.2161,0.2065,0.2139,Urbana
2024,Azúcar                                            ,69,0.0783,0.0787,0.0788,0.0789,0.0795,0.0795,0.0799,0.0797,0.0797,0.0798,0.08,0.0798,Urbana
2024,Costo diario por persona                          ,0,20858.0,20864.0,20700.0,20733.0,20843.0,21299.0,21522.0,21121.0,20250.0,19965.0,19846.0,19990.0,Urbana
2024,más 10% (cocción)                                 ,0,22944.0,22951.0,22770.0,22807.0,22928.0,23429.0,23675.0,23233.0,22275.0,21961.0,21830.0,21989.0,Urbana
2024,Costo diario por familia de 3.73 miembros         ,0,85581.0,85605.0,84930.0,85069.0,85520.0,87391.0,88306.0,86658.0,83086.0,81914.0,81426.0,82020.0,Urbana
2024,Costo mensual por familia**                       ,0,2567421.0,2568164.0,2547912.0,2552056.0,2565610.0,2621737.0,2649192.0,2599742.0,2492575.0,2457430.0,2442788.0,2460614.0,Urbana
2025,,,,,,,,,,,,,,,Urbana
2025,Pan Francés                                       ,49,0.1684,0.1625,0.1681,0.1746,0.1588,0.1777,0.169,0.16,0.162,0.1568,0.1674,0.1628,Urbana
2025,Tortillas                                         ,223,0.2408,0.2428,0.2373,0.2397,0.2403,0.2528,0.2686,0.2656,0.2678,0.2652,0.2525,0.251,Urbana
2025,Arroz                                             ,55,0.0867,0.0872,0.0865,0.0859,0.0875,0.0865,0.0861,0.0863,0.0862,0.0863,0.0857,0.0858,Urbana
2025,Carnes 1_ /                                       ,60,0.5037,0.5044,0.5087,0.507,0.5076,0.5076,0.5073,0.511,0.5132,0.5118,0.5184,0.518,Urbana
2025,Grasas 2 _ /                                      ,33,0.1137,0.1153,0.116,0.1168,0.1158,0.1163,0.1172,0.1164,0.1169,0.1187,0.1166,0.117,Urbana
2025,Huevos                                            ,28,0.1056,0.1038,0.1003,0.0996,0.1037,0.1047,0.1038,0.105,0.1052,0.1046,0.105,0.1042,Urbana
2025,Leche Fluida *                                    ,106,0.1174,0.1187,0.1187,0.1187,0.1187,0.1187,0.1187,0.1187,0.1187,0.1239,0.1239,0.1239,Urbana
2025,Frutas 3_ /                                       ,157,0.1694,0.1783,0.1706,0.1703,0.1694,0.1637,0.1713,0.1709,0.1664,0.1644,0.1636,0.1655,Urbana
2025,Frijoles                                          ,79,0.2138,0.2158,0.2135,0.2125,0.2125,0.2128,0.2146,0.2105,0.2166,0.2164,0.2162,0.2142,Urbana
2025,Verduras 4_ /                                     ,127,0.2049,0.2035,0.1988,0.2047,0.223,0.2353,0.2356,0.2135,0.2045,0.2096,0.2295,0.226,Urbana
2025,Azúcar                                            ,69,0.0794,0.0794,0.0792,0.079,0.0793,0.0798,0.08,0.0795,0.0794,0.0794,0.0794,0.0794,Urbana
2025,Costo diario por persona                          ,0,20037.0,20116.0,19977.0,20089.0,20166.0,20559.0,20722.0,20375.0,20368.0,20371.0,20580.0,20479.0,Urbana
2025,más 10% (cocción)                                 ,0,22041.0,22127.0,21974.0,22098.0,22182.0,22615.0,22794.0,22412.0,22405.0,22408.0,22638.0,22527.0,Urbana
